               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089159,            0.041275,            0.037954,             0.82168,            0.066964,             0.06298,            0.020294,            0.063689,            0.025996,            0.035587,            0.070151,           0.0033166,           0.0033166
                   1,            0.069875,            0.032566,            0.027377,             0.20176,             0.22303,             0.17902,            0.063232,            0.059007,            0.023064,            0.026665,            0.040085,           0.0065841,           0.0065841
                   2,            0.064948,            0.030372,            0.018546,             0.19715,             0.30537,             0.15706,            0.045764,            0.069503,            0.023392,            0.018747,           0.0099531,           0.0097856,           0.0097856
                   3,            0.060071,            0.030471,            0.015127,             0.46765,             0.25731,             0.26598,            0.088385,            0.066049,            0.022759,            0.048508,            0.009703,            0.009703,            0.009703
                   4,            0.055182,            0.030367,            0.011469,             0.54004,             0.33355,             0.35963,             0.13061,            0.054765,             0.02141,              0.0223,            0.009703,            0.009703,            0.009703
                   5,            0.052202,            0.028491,           0.0093736,             0.54189,             0.43926,             0.43753,             0.14991,            0.054348,            0.019708,            0.013825,            0.009604,            0.009604,            0.009604
                   6,             0.05041,            0.028533,           0.0074154,              0.7336,             0.48831,              0.5487,             0.19945,            0.051764,             0.01848,            0.013786,            0.009505,            0.009505,            0.009505
                   7,             0.04843,            0.026923,           0.0070474,             0.69651,             0.48274,             0.50871,             0.18342,            0.052483,            0.019081,            0.015401,            0.009406,            0.009406,            0.009406
                   8,            0.047358,            0.026839,           0.0057585,             0.65011,             0.59935,             0.57833,             0.20258,            0.049839,            0.018277,            0.011077,            0.009307,            0.009307,            0.009307
                   9,            0.046232,            0.027091,           0.0053823,             0.65271,              0.5871,             0.59728,             0.23067,            0.047791,            0.018911,            0.020347,            0.009208,            0.009208,            0.009208
                  10,            0.045118,            0.025179,           0.0046768,             0.73677,             0.56973,             0.59541,             0.22638,            0.049535,            0.020116,             0.01941,            0.009109,            0.009109,            0.009109
                  11,            0.044311,            0.025197,           0.0046623,             0.72302,              0.6114,              0.6197,             0.26547,            0.047326,             0.01884,            0.014807,             0.00901,             0.00901,             0.00901
                  12,            0.043219,            0.025386,           0.0044559,             0.77718,             0.53309,             0.60607,             0.23584,            0.048041,            0.018605,            0.014586,            0.008911,            0.008911,            0.008911
                  13,            0.041648,            0.024793,           0.0038853,             0.79723,             0.62729,             0.67823,             0.27723,            0.046478,            0.018774,            0.011157,            0.008812,            0.008812,            0.008812
                  14,            0.041585,            0.024102,           0.0036477,             0.77697,             0.67293,             0.68545,             0.27519,            0.046343,             0.01804,            0.011031,            0.008713,            0.008713,            0.008713
                  15,            0.041119,            0.023116,           0.0032723,             0.71387,             0.62913,             0.66315,             0.26001,            0.045731,            0.019008,             0.01132,            0.008614,            0.008614,            0.008614
                  16,            0.039702,            0.022676,           0.0030532,             0.77693,             0.65408,             0.68542,             0.27996,            0.047433,            0.018494,            0.010836,            0.008515,            0.008515,            0.008515
                  17,            0.040144,            0.022767,           0.0028654,             0.79107,             0.64576,             0.67799,             0.28674,            0.047862,            0.018811,            0.011028,            0.008416,            0.008416,            0.008416
                  18,            0.039464,            0.022425,           0.0029671,             0.80437,             0.60631,             0.66507,             0.27231,            0.047651,            0.020381,           0.0098716,            0.008317,            0.008317,            0.008317
                  19,            0.038641,            0.022571,             0.00261,             0.77373,             0.70567,              0.7175,             0.28902,            0.046038,            0.018851,            0.010416,            0.008218,            0.008218,            0.008218
                  20,            0.038111,            0.022973,           0.0025822,             0.77759,             0.68987,              0.6801,             0.27821,            0.046894,            0.019266,            0.010824,            0.008119,            0.008119,            0.008119
                  21,            0.037813,            0.021603,           0.0026088,             0.78654,             0.67466,             0.69477,             0.27573,            0.045999,            0.018814,            0.011724,             0.00802,             0.00802,             0.00802
                  22,            0.036967,            0.021697,           0.0024793,             0.77906,             0.58164,             0.59904,              0.2395,            0.050505,            0.022184,            0.011502,            0.007921,            0.007921,            0.007921
                  23,            0.036262,            0.021338,           0.0022593,             0.74953,             0.61809,             0.64419,              0.2626,            0.047244,            0.019751,           0.0097721,            0.007822,            0.007822,            0.007822
                  24,            0.034857,            0.021005,           0.0022169,             0.80733,             0.64912,             0.68627,             0.28561,            0.044592,             0.01944,            0.010145,            0.007723,            0.007723,            0.007723
                  25,            0.035393,             0.02112,           0.0020509,               0.748,             0.66298,             0.65985,             0.26743,            0.046218,            0.020274,            0.010962,            0.007624,            0.007624,            0.007624
                  26,            0.035808,            0.021067,            0.001837,             0.76716,             0.65645,             0.66354,             0.26848,             0.04603,            0.019564,             0.01149,            0.007525,            0.007525,            0.007525
                  27,            0.034843,            0.020385,           0.0020015,              0.7567,             0.64336,             0.66315,             0.28623,            0.046257,            0.020322,            0.010778,            0.007426,            0.007426,            0.007426
                  28,            0.034604,            0.020771,           0.0017603,             0.79248,             0.63644,             0.67116,             0.27258,            0.046558,            0.019972,            0.010557,            0.007327,            0.007327,            0.007327
                  29,            0.033651,            0.019498,           0.0020916,             0.79025,             0.61492,             0.65596,             0.27389,            0.045991,            0.020176,           0.0099659,            0.007228,            0.007228,            0.007228
                  30,            0.033186,            0.020465,           0.0019496,             0.81753,             0.64776,             0.70544,             0.28504,            0.047049,            0.020082,            0.012419,            0.007129,            0.007129,            0.007129
                  31,            0.033778,            0.020014,           0.0019485,             0.78626,             0.65773,             0.66496,              0.2685,            0.046486,            0.020137,              0.0119,             0.00703,             0.00703,             0.00703
                  32,             0.03283,            0.019719,           0.0017567,              0.7825,             0.65535,             0.66204,              0.2738,            0.047004,            0.020149,           0.0094317,            0.006931,            0.006931,            0.006931
                  33,            0.032627,            0.020236,           0.0014505,             0.78616,             0.65255,             0.68521,             0.28267,            0.046527,            0.020553,            0.012982,            0.006832,            0.006832,            0.006832
                  34,            0.032543,            0.019567,           0.0015063,             0.81048,              0.6613,             0.66353,             0.26248,            0.046956,            0.020913,            0.013316,            0.006733,            0.006733,            0.006733
                  35,            0.032048,            0.020262,           0.0015563,              0.7668,             0.66049,             0.64157,             0.26419,             0.04675,            0.020966,            0.011921,            0.006634,            0.006634,            0.006634
                  36,            0.031997,            0.019398,            0.001541,             0.82429,             0.62467,             0.67904,             0.28004,            0.047357,            0.021275,            0.011145,            0.006535,            0.006535,            0.006535
                  37,            0.031299,            0.018606,           0.0014252,             0.80548,             0.64967,              0.6461,             0.26932,            0.047295,            0.020908,            0.012156,            0.006436,            0.006436,            0.006436
                  38,            0.031615,            0.019583,           0.0014129,             0.81146,             0.65491,             0.68002,             0.28499,            0.046532,            0.020356,            0.011106,            0.006337,            0.006337,            0.006337
                  39,            0.030725,            0.018829,           0.0014982,             0.76819,             0.67972,              0.6623,              0.2655,            0.047194,            0.021203,            0.010792,            0.006238,            0.006238,            0.006238
                  40,            0.030462,            0.018728,           0.0013093,             0.80823,             0.64556,             0.65151,             0.26797,            0.047544,            0.021731,           0.0093859,            0.006139,            0.006139,            0.006139
                  41,            0.030651,            0.019082,           0.0013359,             0.74912,             0.66914,             0.65722,             0.26338,            0.047463,            0.021324,            0.009855,             0.00604,             0.00604,             0.00604
                  42,             0.03021,            0.018381,           0.0014429,              0.7906,             0.67685,             0.66903,             0.26663,            0.046741,            0.022553,            0.010023,            0.005941,            0.005941,            0.005941
                  43,            0.029388,            0.018244,           0.0014245,             0.80225,             0.65352,             0.67804,             0.26831,            0.047757,            0.021901,            0.010399,            0.005842,            0.005842,            0.005842
                  44,            0.029186,            0.018177,           0.0014093,              0.7863,             0.66776,             0.66397,             0.26648,            0.048391,            0.022651,            0.010805,            0.005743,            0.005743,            0.005743
